ID,Sales
T1188341,58770.17539577555
T1188342,34396.38874665431
T1188343,58770.17539577555
T1188344,34396.38874665431
T1188345,34396.38874665431
T1188346,58770.17539577555
T1188347,58770.17539577555
T1188348,44754.315764435014
T1188349,49644.39378026512
T1188350,29358.64151266212
T1188351,49644.39378026512
T1188352,34396.38874665431
T1188353,34396.38874665431
T1188354,39286.466762484415
T1188355,39286.466762484415
T1188356,30019.487311319077
T1188357,44754.315764435014
T1188358,19591.78602773915
T1188359,34396.38874665431
T1188360,49644.39378026512
T1188361,24981.740077326893
T1188362,34909.56532714918
T1188363,39286.466762484415
T1188364,24981.740077326893
T1188365,34909.56532714918
T1188366,30019.487311319077
T1188367,34396.38874665431
T1188368,29358.64151266212
T1188369,34396.38874665431
T1188370,48412.248377994845
T1188371,34396.38874665431
T1188372,49644.39378026512
T1188373,30019.487311319077
T1188374,30019.487311319077
T1188375,58770.17539577555
T1188376,58770.17539577555
T1188377,30019.487311319077
T1188378,34396.38874665431
T1188379,24981.740077326893
T1188380,58770.17539577555
T1188381,30019.487311319077
T1188382,34396.38874665431
T1188383,29358.64151266212
T1188384,30019.487311319077
T1188385,39286.466762484415
T1188386,34396.38874665431
T1188387,58770.17539577555
T1188388,58770.17539577555
T1188389,29358.64151266212
T1188390,70863.00710039078
T1188391,34396.38874665431
T1188392,48412.248377994845
T1188393,58770.17539577555
T1188394,44754.315764435014
T1188395,34396.38874665431
T1188396,58770.17539577555
T1188397,34396.38874665431
T1188398,39286.466762484415
T1188399,34396.38874665431
T1188400,44754.315764435014
T1188401,34396.38874665431
T1188402,19591.78602773915
T1188403,58770.17539577555
T1188404,34396.38874665431
T1188405,34396.38874665431
T1188406,21949.2941407609
T1188407,58770.17539577555
T1188408,34396.38874665431
T1188409,42112.31901593431
T1188410,21949.2941407609
T1188411,58770.17539577555
T1188412,19591.78602773915
T1188413,34396.38874665431
T1188414,24981.740077326893
T1188415,34396.38874665431
T1188416,39286.466762484415
T1188417,49644.39378026512
T1188418,34396.38874665431
T1188419,48412.248377994845
T1188420,58770.17539577555
T1188421,19591.78602773915
T1188422,48412.248377994845
T1188423,58770.17539577555
T1188424,34396.38874665431
T1188425,34396.38874665431
T1188426,34396.38874665431
T1188427,58770.17539577555
T1188428,34396.38874665431
T1188429,58770.17539577555
T1188430,48412.248377994845
T1188431,34396.38874665431
T1188432,19591.78602773915
T1188433,58770.17539577555
T1188434,34396.38874665431
T1188435,29358.64151266212
T1188436,48412.248377994845
T1188437,58770.17539577555
T1188438,21949.2941407609
T1188439,48412.248377994845
T1188440,34396.38874665431
T1188441,30019.487311319077
T1188442,34396.38874665431
T1188443,34396.38874665431
T1188444,39286.466762484415
T1188445,34396.38874665431
T1188446,24629.533261731332
T1188447,58770.17539577555
T1188448,58770.17539577555
T1188449,34396.38874665431
T1188450,34396.38874665431
T1188451,49644.39378026512
T1188452,19591.78602773915
T1188453,48412.248377994845
T1188454,30019.487311319077
T1188455,58770.17539577555
